split_seed,predictor,method,method_label,confidence_bin,confidence_bin_lower,confidence_bin_upper,n_rows,n_environments,global_mean_risk,between_environment_risk_variance,maximum_environment_risk_gap,contextual_grouping_loss,within_environment_risk_variance,risk_variance_reduction,matched_same_environment_risk_gap,matched_same_environment_pair_count,matched_different_environment_risk_gap,matched_different_environment_pair_count,bin_edges_fit_on,outcomes_used_for_bin_construction
20260907,mean_matching,ptl_rf,PTL,1,0.2622646456249377,0.4172367709310066,33,1,0.8246617412904513,1.232595164407831e-32,0.0,1.1102230246251565e-16,0.04167440745539655,1.3877787807814457e-17,0.237427796015309,528,,0,calibration_rows_only,0
20260907,mean_matching,ptl_rf,PTL,2,0.4172367709310066,0.6042256801684303,50,1,0.7543339736981407,0.0,0.0,0.0,0.009623192796258673,5.204170427930421e-18,0.10613371586490841,1225,,0,calibration_rows_only,0
20260907,mean_matching,ptl_rf,PTL,3,0.6042256801684303,0.6680669516680053,50,1,0.6417107256322275,0.0,0.0,0.0,0.03249030494282688,0.0,0.2001265198671296,1225,,0,calibration_rows_only,0
20260907,mean_matching,ptl_rf,PTL,4,0.6680669516680053,0.7587909169082047,50,1,0.7075348483582807,1.232595164407831e-32,0.0,1.1102230246251565e-16,0.02067473332276943,-6.938893903907228e-18,0.1638009985685472,1225,,0,calibration_rows_only,0
20260907,mean_matching,ptl_rf,PTL,5,0.7587909169082047,0.8334411658422971,17,1,0.35178015786772937,0.0,0.0,0.0,0.06473175424361298,0.0,0.28693550750630903,136,,0,calibration_rows_only,0
20260907,mean_matching,ptl_rf,PTL,6,0.8334411658422971,0.9116948011136704,61,2,0.5287441639798509,0.023777576254795877,0.31816903464075225,0.1494650557785635,0.0462115428090557,0.023403676812224848,0.19385283003888243,956,0.40925169760421104,874,calibration_rows_only,0
20260907,mean_matching,ptl_rf,PTL,7,0.9116948011136704,0.9951116673773436,28,2,0.4117104738563682,0.04173258514233758,0.4522053374269859,0.18457360711305545,0.013413180882035127,0.04278145196679323,0.1406182867434639,218,0.45220533742698593,160,calibration_rows_only,0
20260907,mean_matching,ptl_rf,PTL,8,0.9951116673773436,inf,38,1,0.49531657812777313,0.0,0.0,0.0,0.001992515717907283,0.0,0.04942350822741279,703,,0,calibration_rows_only,0
20260917,mean_matching,ptl_rf,PTL,1,0.235630865916341,0.2403071395159833,33,1,0.8098866379896269,0.0,0.0,0.0,0.045643749177159465,2.0816681711721685e-17,0.24701951588720225,528,,0,calibration_rows_only,0
20260917,mean_matching,ptl_rf,PTL,2,0.2403071395159833,0.6022883480987453,50,1,0.7851480917250042,1.232595164407831e-32,0.0,1.1102230246251565e-16,0.025005369824603715,1.3877787807814457e-17,0.17696162176424002,1225,,0,calibration_rows_only,0
20260917,mean_matching,ptl_rf,PTL,3,0.6022883480987453,0.6152713599390911,50,1,0.7004719547236695,1.232595164407831e-32,0.0,1.1102230246251565e-16,0.04378965164710138,-2.0816681711721685e-17,0.23149915957604356,1225,,0,calibration_rows_only,0
20260917,mean_matching,ptl_rf,PTL,4,0.6152713599390911,0.7815085192890591,62,2,0.6332791921548235,0.009716499724538375,0.2495002503042349,0.07788769520423573,0.02794586109162176,0.00941765773491405,0.18321970831416462,1291,0.2688770298801985,600,calibration_rows_only,0
20260917,mean_matching,ptl_rf,PTL,5,0.7815085192890591,0.830480596657751,6,1,0.1881304813608187,3.0814879110195774e-33,0.0,5.551115123125783e-17,0.012360248442124808,0.0,0.127548454977869,15,,0,calibration_rows_only,0
